log10_x,L_100,L_1000,dc,zero_line
5.08,4.970156,-3.815658,-0.670000,0.0
5.10,-4.209519,-0.508214,-0.670000,0.0
5.12,1.835248,-0.002565,-0.670000,0.0
5.14,-6.226085,2.537343,-0.670000,0.0
5.16,4.241359,3.569834,-0.670000,0.0
5.18,-4.462977,6.958150,-0.670000,0.0
5.20,-1.240046,0.210327,-0.670000,0.0
5.22,-0.566303,-4.396055,-0.670000,0.0
5.24,-0.767326,11.568745,-0.670000,0.0
5.26,0.503663,12.623036,-0.670000,0.0
5.28,0.590426,6.868484,-0.670000,0.0
5.30,-2.616883,10.551394,-0.670000,0.0
5.32,-1.854239,5.029011,-0.670000,0.0
5.34,3.281190,0.128860,-0.670000,0.0
5.36,-3.694865,-3.509714,-0.670000,0.0
5.38,3.427139,2.142135,-0.670000,0.0
5.40,-3.194481,7.456919,-0.670000,0.0
5.42,5.052075,7.642662,-0.670000,0.0
5.44,-1.780024,3.105526,-0.670000,0.0
5.46,1.468476,26.999520,-0.670000,0.0
5.48,5.606628,-1.754875,-0.670000,0.0
5.50,3.376814,7.393570,-0.670000,0.0
5.52,-3.270149,-0.207745,-0.670000,0.0
5.54,-1.225251,-11.644718,-0.670000,0.0
5.56,1.617512,7.435135,-0.670000,0.0
5.58,-3.032049,-2.642012,-0.670000,0.0
5.60,-9.136079,-0.491586,-0.670000,0.0
5.62,2.875270,7.937664,-0.670000,0.0
5.64,-5.892325,-16.450763,-0.670000,0.0
5.66,-1.110087,-10.385060,-0.670000,0.0
5.68,-3.941382,-0.040632,-0.670000,0.0
5.70,-3.608355,-20.994423,-0.670000,0.0
5.72,-6.749811,5.506441,-0.670000,0.0
5.74,1.513322,-5.032510,-0.670000,0.0
5.76,1.707802,13.756269,-0.670000,0.0
5.78,-1.407801,-3.469251,-0.670000,0.0
5.80,-0.544771,15.449017,-0.670000,0.0
5.82,-0.075057,-7.071080,-0.670000,0.0
5.84,-1.633911,8.471855,-0.670000,0.0
5.86,2.117944,-9.336317,-0.670000,0.0
5.88,3.889513,24.452761,-0.670000,0.0
5.90,-2.775602,-5.620863,-0.670000,0.0
5.92,-5.415862,-6.480664,-0.670000,0.0
5.94,-2.214152,-17.013224,-0.670000,0.0
5.96,-1.518995,-20.414061,-0.670000,0.0
5.98,2.746287,-4.118477,-0.670000,0.0
6.00,6.152498,13.062521,-0.670000,0.0
6.02,-2.670710,-0.381402,-0.670000,0.0
6.04,2.658890,-14.391237,-0.670000,0.0
6.06,3.581223,10.241447,-0.670000,0.0
6.08,-4.263993,-9.649566,-0.670000,0.0
6.10,-0.699297,-7.501567,-0.670000,0.0
6.12,0.436834,1.713156,-0.670000,0.0
6.14,1.988210,-22.989171,-0.670000,0.0
6.16,-3.161032,4.917325,-0.670000,0.0
6.18,-9.259409,-17.113431,-0.670000,0.0
6.20,1.746398,6.223043,-0.670000,0.0
6.22,0.565951,-3.446334,-0.670000,0.0
6.24,1.534043,10.620091,-0.670000,0.0
6.26,-0.798179,14.594403,-0.670000,0.0
6.28,0.507469,18.081414,-0.670000,0.0
6.30,4.902374,8.580064,-0.670000,0.0
6.32,-0.622287,-6.032296,-0.670000,0.0
6.34,-4.625350,1.021911,-0.670000,0.0
6.36,-6.580061,-7.429933,-0.670000,0.0
6.38,-0.768534,1.925202,-0.670000,0.0
6.40,0.848826,-4.776812,-0.670000,0.0
6.42,0.263741,2.127961,-0.670000,0.0
6.44,-0.066600,18.106753,-0.670000,0.0
6.46,0.054870,1.937236,-0.670000,0.0
6.48,-3.312797,1.284816,-0.670000,0.0
6.50,4.708336,12.191302,-0.670000,0.0
6.52,-4.726772,-13.518877,-0.670000,0.0
6.54,-7.146907,-5.100731,-0.670000,0.0
6.56,-4.317468,-17.818709,-0.670000,0.0
6.58,4.401579,6.620315,-0.670000,0.0
6.60,-0.019039,-14.327897,-0.670000,0.0
6.62,2.137236,-19.170634,-0.670000,0.0
6.64,5.467429,11.943298,-0.670000,0.0
6.66,1.921912,-5.367409,-0.670000,0.0
6.68,2.149441,3.170338,-0.670000,0.0
6.70,-6.286568,1.821217,-0.670000,0.0
6.72,-1.428263,-12.775150,-0.670000,0.0
6.74,-2.320057,1.335876,-0.670000,0.0
6.76,-3.462653,-14.122168,-0.670000,0.0
6.78,0.391507,-24.761625,-0.670000,0.0
6.80,-6.176561,-13.709019,-0.670000,0.0
6.82,0.236262,-2.524211,-0.670000,0.0
6.84,-2.730703,3.084782,-0.670000,0.0
6.86,-0.749809,0.121928,-0.670000,0.0
6.88,3.229087,23.564517,-0.670000,0.0
6.90,-6.298753,-10.064891,-0.670000,0.0
6.92,-3.279808,-1.752286,-0.670000,0.0
6.94,-3.504267,-4.529011,-0.670000,0.0
6.96,3.989000,16.637865,-0.670000,0.0
6.98,0.399819,2.610913,-0.670000,0.0
7.00,5.325811,17.514375,-0.670000,0.0
7.02,-0.422346,-0.247122,-0.670000,0.0
7.04,0.468116,-10.533223,-0.670000,0.0
7.06,4.931055,-12.614713,-0.670000,0.0
7.08,-4.770974,2.538285,-0.670000,0.0
7.10,1.191982,12.320909,-0.670000,0.0
7.12,3.340887,10.015032,-0.670000,0.0
7.14,-2.570073,-4.142663,-0.670000,0.0
7.16,-5.960343,-2.538490,-0.670000,0.0
7.18,1.877496,7.729075,-0.670000,0.0
7.20,-1.404176,-0.779808,-0.670000,0.0
7.22,2.409235,5.571592,-0.670000,0.0
