log10_x,M_100,M_1000,M_10000,threshold_pos,threshold_neg
126.9,-0.041196,-0.041902,-0.042692,1.0,-1.0
127.0,0.002742,-0.007415,-0.020694,1.0,-1.0
127.1,0.088143,0.088110,0.094958,1.0,-1.0
127.2,0.010974,0.000806,0.004938,1.0,-1.0
127.3,-0.015040,-0.009762,-0.022438,1.0,-1.0
127.4,-0.077987,-0.086499,-0.078912,1.0,-1.0
127.5,0.037064,0.044703,0.033368,1.0,-1.0
127.6,-0.033517,-0.011557,-0.007989,1.0,-1.0
127.7,-0.018689,-0.017792,-0.024490,1.0,-1.0
127.8,0.048478,0.077332,0.092001,1.0,-1.0
127.9,-0.031285,-0.044891,-0.041881,1.0,-1.0
128.0,0.039151,0.035209,0.032407,1.0,-1.0
128.1,-0.036388,-0.025567,-0.025964,1.0,-1.0
128.2,0.065712,0.024857,0.023616,1.0,-1.0
128.3,0.020414,-0.012276,-0.012212,1.0,-1.0
128.4,0.012039,0.053943,0.040281,1.0,-1.0
128.5,-0.088603,-0.051767,-0.044537,1.0,-1.0
128.6,-0.022750,-0.029180,-0.029514,1.0,-1.0
128.7,-0.033354,-0.027856,-0.027730,1.0,-1.0
128.8,0.139199,0.130737,0.124932,1.0,-1.0
128.9,-0.028638,-0.033097,-0.023444,1.0,-1.0
129.0,0.047058,0.008648,0.008695,1.0,-1.0
129.1,-0.049869,-0.042110,-0.035999,1.0,-1.0
129.2,0.107225,0.121254,0.126987,1.0,-1.0
129.3,-0.036397,-0.016151,-0.019872,1.0,-1.0
129.4,0.034658,0.025267,0.025237,1.0,-1.0
129.5,-0.087173,-0.100076,-0.093103,1.0,-1.0
129.6,0.048705,0.059053,0.057517,1.0,-1.0
129.7,-0.055058,-0.065562,-0.058804,1.0,-1.0
129.8,-0.024550,-0.038003,-0.032637,1.0,-1.0
129.9,-0.125932,-0.148500,-0.147853,1.0,-1.0
130.0,0.092473,0.071682,0.066028,1.0,-1.0
130.1,-0.015508,-0.001858,0.002373,1.0,-1.0
130.2,0.066450,0.050896,0.060114,1.0,-1.0
130.3,-0.084759,-0.083605,-0.089531,1.0,-1.0
130.4,0.016529,0.027901,0.031597,1.0,-1.0
130.5,0.105306,0.132077,0.127784,1.0,-1.0
130.6,0.089449,0.098998,0.095807,1.0,-1.0
130.7,-0.007610,-0.000631,0.001255,1.0,-1.0
130.8,-0.098553,-0.106274,-0.104156,1.0,-1.0
130.9,-0.055362,-0.063119,-0.057736,1.0,-1.0
131.0,-0.003340,-0.006739,-0.009689,1.0,-1.0
131.1,0.011514,0.000110,0.003842,1.0,-1.0
131.2,-0.041286,-0.026671,-0.032931,1.0,-1.0
131.3,-0.045519,-0.068034,-0.065440,1.0,-1.0
131.4,-0.015879,-0.016627,-0.010695,1.0,-1.0
131.5,0.109831,0.119252,0.121693,1.0,-1.0
131.6,0.016871,0.019148,0.013455,1.0,-1.0
131.7,0.093016,0.078510,0.080127,1.0,-1.0
131.8,-0.069798,-0.073220,-0.069067,1.0,-1.0
