log10_x,L_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg,dc_offset
2.50,-5.123915,-0.188696,0.634381,-0.307272,-0.419874,0.532139,6.626182,-6.626182,-0.670000
2.52,2.239118,0.247455,0.315053,0.366130,0.353256,0.293166,6.626182,-6.626182,-0.670000
2.54,1.912357,0.582407,-0.277196,0.605193,0.539180,-0.500445,6.626182,-6.626182,-0.670000
2.56,-2.424449,0.679181,-0.629319,0.126316,-0.171158,-0.347269,6.626182,-6.626182,-0.670000
2.58,-1.384522,0.498198,-0.436282,-0.502410,-0.596986,0.462902,6.626182,-6.626182,-0.670000
2.60,-0.413279,0.113475,0.134693,-0.535127,-0.030463,0.397312,6.626182,-6.626182,-0.670000
2.62,0.802097,-0.317655,0.588987,0.066976,0.586697,-0.419949,6.626182,-6.626182,-0.670000
2.64,-1.607768,-0.618878,0.533060,0.589626,0.228610,-0.442713,6.626182,-6.626182,-0.670000
2.66,-0.738415,-0.667007,0.015359,0.412803,-0.509488,0.372088,6.626182,-6.626182,-0.670000
2.68,-1.370582,-0.442359,-0.515647,-0.253727,-0.400680,0.482939,6.626182,-6.626182,-0.670000
2.70,-2.109544,-0.036805,-0.599963,-0.619261,0.374166,-0.319879,6.626182,-6.626182,-0.670000
2.72,-1.299808,0.383800,-0.164550,-0.250166,0.527048,-0.517520,6.626182,-6.626182,-0.670000
2.74,2.523703,0.647448,0.413408,0.415701,-0.196165,0.263930,6.626182,-6.626182,-0.670000
2.76,-0.947194,0.646317,0.633243,0.588422,-0.593299,0.546053,6.626182,-6.626182,-0.670000
2.78,0.923724,0.380871,0.304519,0.063099,-0.004211,-0.204897,6.626182,-6.626182,-0.670000
2.80,-0.658162,-0.040334,-0.288001,-0.537078,0.591877,-0.568205,6.626182,-6.626182,-0.670000
2.82,-3.281450,-0.445045,-0.631034,-0.500121,0.204107,0.143469,5.990122,-5.990122,-0.670000
2.84,-1.953587,-0.667752,-0.427422,0.130130,-0.522943,0.583715,5.990122,-5.990122,-0.670000
2.86,1.388459,-0.617377,0.146453,0.606007,-0.380721,-0.080365,5.990122,-5.990122,-0.670000
2.88,-2.680915,-0.314522,0.593460,0.362979,0.394362,-0.592403,5.990122,-5.990122,-0.670000
2.90,1.426252,0.116959,0.526371,-0.310651,0.513910,0.016321,5.990122,-5.990122,-0.670000
2.92,-0.929066,0.500609,0.003302,-0.615756,-0.220798,0.594167,5.990122,-5.990122,-0.670000
2.94,-0.993904,0.679531,-0.522627,-0.190391,-0.588480,0.047914,5.990122,-5.990122,-0.670000
2.96,-0.192147,0.580555,-0.595820,0.460835,0.022049,-0.588987,5.990122,-5.990122,-0.670000
2.98,-0.953712,0.244157,-0.152873,0.565373,0.595927,-0.111589,5.990122,-5.990122,-0.670000
3.00,1.333597,-0.192091,0.422504,-0.000790,0.179214,0.576924,5.990122,-5.990122,-0.670000
3.02,-1.743915,-0.549781,0.631878,-0.566016,-0.535401,0.173959,5.990122,-5.990122,-0.670000
3.04,-1.733183,-0.682636,0.293876,-0.459777,-0.360036,-0.558117,5.990122,-5.990122,-0.670000
3.06,-2.623690,-0.536322,-0.298702,0.191894,0.413805,-0.234296,5.990122,-5.990122,-0.670000
3.08,0.232291,-0.170675,-0.632524,0.615922,0.499792,0.532788,5.990122,-5.990122,-0.670000
3.10,2.728916,0.264770,-0.418409,0.309282,-0.245009,0.291895,5.990122,-5.990122,-0.670000
3.12,-5.990122,0.591935,0.158161,-0.364259,-0.582539,-0.501231,5.990122,-5.990122,-0.670000
3.14,2.038566,0.677025,0.597721,-0.605680,0.048267,-0.346083,5.990122,-5.990122,-0.670000
3.16,2.452026,0.485241,0.519493,-0.128584,0.598840,0.463817,5.990122,-5.990122,-0.670000
3.18,-2.215167,0.095015,-0.008755,0.501051,0.153980,0.396225,5.990122,-5.990122,-0.670000
3.20,-0.036037,-0.334069,-0.529419,0.536290,-0.546836,-0.420981,5.990122,-5.990122,-0.670000
3.22,-3.333239,-0.626533,-0.591464,-0.064672,-0.338664,-0.441737,5.990122,-5.990122,-0.670000
3.24,-1.778706,-0.662772,-0.141141,-0.588913,0.432459,0.373226,5.990122,-5.990122,-0.670000
3.26,1.425374,-0.427966,0.431448,-0.414528,0.484719,0.482086,5.990122,-5.990122,-0.670000
3.28,-2.506800,-0.018141,0.630287,0.251611,-0.268753,-0.321108,5.990122,-5.990122,-0.670000
3.30,1.306972,0.399103,0.283127,0.619264,-0.575486,-0.516801,5.990122,-5.990122,-0.670000
3.32,-0.482795,0.653131,-0.309297,0.252285,0.074393,0.265237,5.990122,-5.990122,-0.670000
3.34,-0.382183,0.640058,-0.633786,-0.413980,0.600611,0.545475,5.990122,-5.990122,-0.670000
3.36,0.036678,0.365228,-0.409246,-0.589141,0.128452,-0.206267,5.990122,-5.990122,-0.670000
3.38,-3.016506,-0.058964,0.169811,-0.065405,-0.557229,-0.567774,5.990122,-5.990122,-0.670000
3.40,-0.866049,-0.459042,0.601767,0.535921,-0.316646,0.144886,5.990122,-5.990122,-0.670000
3.42,3.834976,-0.671392,0.512430,0.501484,0.450287,0.583438,5.990122,-5.990122,-0.670000
3.44,-4.333965,-0.609172,-0.020810,-0.127863,0.468722,-0.081811,5.990122,-5.990122,-0.670000
3.46,-2.139435,-0.297827,-0.536022,-0.605526,-0.291985,-0.592282,5.990122,-5.990122,-0.670000
3.48,-0.954728,0.135316,-0.586895,-0.364855,-0.567335,0.017780,5.990122,-5.990122,-0.670000
3.50,0.587541,0.513121,-0.129359,0.308643,0.100378,0.594204,5.990122,-5.990122,-0.670000
3.52,-0.317344,0.681082,0.440237,0.615998,0.601236,0.046459,5.990122,-5.990122,-0.670000
3.54,2.658099,0.570509,0.628469,0.192595,0.102679,-0.589182,5.990122,-5.990122,-0.670000
3.56,-2.403402,0.226624,0.272277,-0.459283,-0.566558,-0.110154,5.990122,-5.990122,-0.670000
3.58,-1.180484,-0.209941,-0.319780,-0.566314,-0.294024,0.577273,5.990122,-5.990122,-0.670000
