log10_x,M_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg
7.90,0.041481,-0.021370,-0.022762,0.013000,0.010116,0.014426,0.156576,-0.156576
7.95,0.037490,0.044421,0.030278,-0.018015,-0.015461,-0.004920,0.156576,-0.156576
8.00,0.073063,0.016351,-0.022710,0.021799,0.018811,-0.006593,0.156576,-0.156576
8.05,-0.105066,-0.046269,0.003830,-0.024094,-0.019734,0.015416,0.156576,-0.156576
8.10,0.011518,-0.011123,0.016959,0.024743,0.018109,-0.017948,0.156576,-0.156576
8.15,0.083607,0.047525,-0.029299,-0.023702,-0.014148,0.013156,0.156576,-0.156576
8.20,0.059683,0.005754,0.027044,0.021042,0.008361,-0.002995,0.156576,-0.156576
8.25,-0.119027,-0.048176,-0.011316,-0.016945,-0.001495,-0.008388,0.156576,-0.156576
8.30,0.060173,-0.000310,-0.010048,0.011690,-0.005564,0.016348,0.156576,-0.156576
8.35,0.039576,0.048211,0.026408,-0.005636,0.011905,-0.017637,0.156576,-0.156576
8.40,-0.041367,-0.005137,-0.029612,-0.000802,-0.016710,0.011729,0.156576,-0.156576
8.45,-0.044101,-0.047630,0.018064,0.007186,0.019358,-0.001035,0.156576,-0.156576
8.50,-0.056274,0.010519,0.002482,-0.013079,-0.019508,-0.010082,0.156576,-0.156576
8.55,0.023327,0.046442,-0.021792,0.018078,0.017140,0.017084,0.143855,-0.143855
8.60,-0.006087,-0.015766,0.030246,-0.021843,-0.012560,-0.017115,0.143855,-0.143855
8.65,-0.039481,-0.044660,-0.023633,0.024115,0.006360,0.010162,0.143855,-0.143855
8.70,-0.052932,0.020812,0.005247,-0.024740,0.000662,0.000938,0.143855,-0.143855
8.75,0.048541,0.042309,0.015753,0.023675,-0.007598,-0.011655,0.143855,-0.143855
8.80,-0.046312,-0.025592,-0.028905,-0.020993,0.013553,0.017616,0.143855,-0.143855
8.85,-0.061644,-0.039417,0.027658,0.016877,-0.017760,-0.016388,0.143855,-0.143855
8.90,0.010694,0.030046,-0.012633,-0.011608,0.019674,0.008473,0.143855,-0.143855
8.95,0.088450,0.036022,-0.008685,0.005546,-0.019050,0.002900,0.143855,-0.143855
9.00,-0.014406,-0.034116,0.025677,0.000895,0.015967,-0.013090,0.143855,-0.143855
9.05,-0.143855,-0.032168,-0.029877,-0.007274,-0.010823,0.017938,0.143997,-0.143997
9.10,0.080047,0.037751,0.019194,0.013157,0.004283,-0.015466,0.145832,-0.145832
