log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
311.700,0.039129,-0.025143,0.028179,-0.008568,0.013904,0.011420,0.009392,0.005672,0.011467,-0.002542,-0.004653
311.710,0.007211,-0.036999,0.019788,0.005462,0.001580,0.017899,-0.003320,0.013771,0.011727,-0.011404,-0.011292
311.720,-0.031581,-0.044970,0.006849,0.017730,-0.011489,0.014568,-0.013697,0.010523,0.001252,-0.007695,-0.004654
311.730,-0.061745,-0.048219,-0.007663,0.024278,-0.019146,0.003253,-0.014439,-0.001395,-0.010369,0.004497,0.007457
311.740,-0.078610,-0.046406,-0.020414,0.022995,-0.017784,-0.009845,-0.005025,-0.012164,-0.012498,0.011731,0.010799
311.750,-0.080190,-0.039720,-0.028475,0.014294,-0.008046,-0.017547,0.007924,-0.012910,-0.003186,0.006034,0.001443
311.760,-0.062629,-0.028864,-0.029993,0.000981,0.005482,-0.015633,0.015299,-0.003019,0.009043,-0.006315,-0.009610
311.770,-0.027766,-0.014977,-0.024620,-0.012647,0.016428,-0.005150,0.011913,0.009360,0.012993,-0.011703,-0.009363
311.780,0.009414,0.000482,-0.013590,-0.022196,0.019636,0.008155,0.000147,0.014026,0.005050,-0.004189,0.001894
311.790,0.029216,0.015891,0.000562,-0.024585,0.013594,0.016991,-0.011723,0.007136,-0.007517,0.007942,0.010924
311.800,0.027082,0.029631,0.014585,-0.019043,0.001149,0.016514,-0.015346,-0.005634,-0.013202,0.011318,0.007108
311.810,0.021723,0.040260,0.025258,-0.007357,-0.011837,0.006987,-0.008175,-0.013762,-0.006802,0.002217,-0.005066
311.820,0.037282,0.046662,0.030126,0.006701,-0.019248,-0.006370,0.004747,-0.010551,0.005825,-0.009328,-0.011283
311.830,0.074988,0.048164,0.028073,0.018598,-0.017592,-0.016235,0.014329,0.001354,0.013120,-0.010590,-0.004233
311.840,0.105819,0.044610,0.019570,0.024496,-0.007650,-0.017203,0.013832,0.012143,0.008404,-0.000178,0.007795
311.850,0.096201,0.036372,0.006570,0.022491,0.005896,-0.008742,0.003606,0.012927,-0.004005,0.010431,0.010657
311.860,0.042463,0.024315,-0.007940,0.013231,0.016664,0.004510,-0.009157,0.003059,-0.012748,0.009541,0.000987
311.870,-0.022682,0.009705,-0.020625,-0.000298,0.019583,0.015290,-0.015479,-0.009329,-0.009821,-0.001866,-0.009843
311.880,-0.060418,-0.005924,-0.028571,-0.013730,0.013278,0.017690,-0.010913,-0.014030,0.002096,-0.011216,-0.009099
311.890,-0.062108,-0.020931,-0.029953,-0.022733,0.000718,0.010395,0.001330,-0.007171,0.012094,-0.008202,0.002344
311.900,-0.053233,-0.033740,-0.024452,-0.024403,-0.012180,-0.002598,0.012637,0.005597,0.011021,0.003854,0.011031
