log10_x,mertens_30,mertens_100,mertens_1000,threshold_1,threshold_neg1
31.6,-0.005746,-0.022808,0.004318,1.0,-1.0
31.7,0.082699,0.105414,0.110437,1.0,-1.0
31.8,-0.110647,-0.123152,-0.138283,1.0,-1.0
31.9,0.071674,0.048620,0.050525,1.0,-1.0
32.0,-0.058695,-0.077029,-0.097091,1.0,-1.0
32.1,0.096480,0.122076,0.124343,1.0,-1.0
32.2,0.016836,0.019611,0.019289,1.0,-1.0
32.3,0.070572,0.084464,0.061483,1.0,-1.0
32.4,-0.021789,-0.006228,-0.000047,1.0,-1.0
32.5,0.045279,0.052736,0.063164,1.0,-1.0
32.6,-0.079012,-0.105952,-0.125856,1.0,-1.0
32.7,0.029311,0.015665,0.004164,1.0,-1.0
32.8,-0.139984,-0.156388,-0.162665,1.0,-1.0
32.9,0.005946,0.020697,0.022917,1.0,-1.0
33.0,-0.016459,-0.039149,-0.022714,1.0,-1.0
33.1,-0.007723,0.006564,-0.008186,1.0,-1.0
33.2,0.007929,0.021405,0.001687,1.0,-1.0
33.3,-0.005010,0.025484,0.024205,1.0,-1.0
33.4,0.115360,0.105295,0.126268,1.0,-1.0
33.5,0.057627,0.045301,0.054946,1.0,-1.0
33.6,-0.059171,-0.031073,-0.031798,1.0,-1.0
33.7,-0.076557,-0.082351,-0.096778,1.0,-1.0
33.8,-0.048069,-0.076958,-0.040110,1.0,-1.0
33.9,0.037207,0.015859,0.020527,1.0,-1.0
34.0,0.066252,0.101826,0.112614,1.0,-1.0
34.1,-0.066534,-0.023148,-0.018017,1.0,-1.0
34.2,0.011823,0.011998,-0.000692,1.0,-1.0
34.3,0.011710,-0.010370,0.003534,1.0,-1.0
34.4,0.075190,0.072351,0.084130,1.0,-1.0
34.5,0.008958,0.008423,0.002042,1.0,-1.0
34.6,-0.015088,-0.012033,-0.012547,1.0,-1.0
34.7,-0.059457,-0.092234,-0.091134,1.0,-1.0
34.8,0.030881,-0.021322,-0.014126,1.0,-1.0
34.9,-0.082836,-0.072860,-0.095789,1.0,-1.0
35.0,0.043556,0.042343,0.069148,1.0,-1.0
35.1,0.004758,0.061566,0.065573,1.0,-1.0
35.2,0.023359,0.039143,0.039545,1.0,-1.0
35.3,-0.019699,-0.021543,-0.028997,1.0,-1.0
35.4,0.008784,0.004988,0.017047,1.0,-1.0
35.5,-0.004651,0.006624,0.017131,1.0,-1.0
35.6,0.092279,0.099925,0.101323,1.0,-1.0
35.7,-0.020792,-0.011514,0.003858,1.0,-1.0
35.8,0.024521,-0.000458,-0.020324,1.0,-1.0
35.9,-0.000243,-0.016868,-0.024635,1.0,-1.0
36.0,-0.069355,-0.064279,-0.093978,1.0,-1.0
36.1,0.014658,0.018117,0.005089,1.0,-1.0
36.2,-0.125630,-0.139066,-0.162623,1.0,-1.0
36.3,0.010029,-0.000964,0.000293,1.0,-1.0
36.4,-0.046675,-0.053070,-0.073683,1.0,-1.0
36.5,0.034586,0.035635,0.048956,1.0,-1.0
36.6,-0.058234,-0.045878,-0.069908,1.0,-1.0
36.7,0.071005,0.098217,0.077376,1.0,-1.0
36.8,0.047864,0.043667,0.049527,1.0,-1.0
36.9,0.162809,0.188666,0.201958,1.0,-1.0
37.0,-0.054194,-0.108241,-0.114605,1.0,-1.0
37.1,-0.007423,-0.003503,-0.009688,1.0,-1.0
37.2,-0.077735,-0.069376,-0.060470,1.0,-1.0
37.3,0.095261,0.092653,0.115770,1.0,-1.0
37.4,-0.024816,-0.025536,-0.021062,1.0,-1.0
37.5,0.008129,0.003930,-0.000318,1.0,-1.0
37.6,-0.103612,-0.101768,-0.110107,1.0,-1.0
37.7,0.018699,-0.004503,-0.006087,1.0,-1.0
37.8,0.003009,0.003564,-0.003012,1.0,-1.0
37.9,0.033002,0.004250,0.002242,1.0,-1.0
38.0,-0.059462,-0.044607,-0.053938,1.0,-1.0
38.1,0.023954,0.056630,0.012206,1.0,-1.0
38.2,-0.023583,0.002887,-0.026733,1.0,-1.0
38.3,0.069096,0.074759,0.094973,1.0,-1.0
