log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
5.340,-0.035410,-0.041765,0.023643,-0.007963,-0.005179,0.005111,-0.005344,0.006583,-0.012789,-0.004001,0.006294
5.350,-0.038567,-0.047311,0.029729,0.006086,-0.016252,-0.008191,-0.014560,0.013950,-0.004159,0.008089,-0.005949
5.360,-0.032774,-0.047890,0.028984,0.018172,-0.019669,-0.017004,-0.013534,0.009824,0.008278,0.011262,-0.011197
5.370,-0.021292,-0.043441,0.021580,0.024396,-0.013821,-0.016498,-0.002989,-0.002397,0.013137,0.002020,-0.003278
5.380,-0.008844,-0.034431,0.009217,0.022749,-0.001463,-0.006950,0.009659,-0.012643,0.005971,-0.009449,0.008495
5.390,0.000844,-0.021805,-0.005264,0.013764,0.011584,0.006407,0.015513,-0.012471,-0.006662,-0.010502,0.010279
5.400,0.005575,-0.006890,-0.018535,0.000339,0.019174,0.016253,0.010454,-0.002024,-0.013196,0.000023,-0.000024
5.410,0.003636,0.008748,-0.027547,-0.013196,0.017733,0.017191,-0.001958,0.010091,-0.007650,0.010522,-0.010299
5.420,-0.005834,0.023468,-0.030230,-0.022473,0.007939,0.008707,-0.012993,0.013892,0.004899,0.009422,-0.008464
5.430,-0.019309,0.035724,-0.025968,-0.024501,-0.005595,-0.004549,-0.014889,0.006246,0.012963,-0.002064,0.003324
5.440,-0.025710,0.044229,-0.015738,-0.018626,-0.016493,-0.015312,-0.006312,-0.006546,0.009160,-0.011275,0.011203
5.450,-0.010265,0.048090,-0.001893,-0.006741,-0.019623,-0.017682,0.006705,-0.013945,-0.003028,-0.008057,0.005909
5.460,0.033153,0.046902,0.012387,0.007318,-0.013509,-0.010362,0.015005,-0.009853,-0.012445,0.004043,-0.006334
5.470,0.090428,0.040789,0.023821,0.019016,-0.001033,0.002637,0.012751,0.002357,-0.010469,0.011686,-0.011128
5.480,0.129730,0.030394,0.029782,0.024580,0.011931,0.014191,0.001527,0.012625,0.001090,0.006446,-0.002837
5.490,0.121426,0.016808,0.028900,0.022215,0.019274,0.017968,-0.010771,0.012490,0.011651,-0.005900,0.008790
5.500,0.061410,0.001457,0.021378,0.012683,0.017539,0.011896,-0.015492,0.002064,0.011547,-0.011742,0.010081
5.510,-0.022826,-0.014047,0.008943,-0.000940,0.007542,-0.000695,-0.009316,-0.010063,0.000872,-0.004640,-0.000482
5.520,-0.090783,-0.028077,-0.005546,-0.014260,-0.006007,-0.012905,0.003413,-0.013899,-0.010601,0.007577,-0.010478
5.530,-0.117290,-0.039158,-0.018761,-0.022980,-0.016727,-0.018043,0.013741,-0.006282,-0.012369,0.011441,-0.008154
5.540,-0.106386,-0.046128,-0.027665,-0.024286,-0.019567,-0.013292,0.014404,0.006510,-0.002814,0.002693,0.003759
5.550,-0.080254,-0.048254,-0.030213,-0.017759,-0.013191,-0.001256,0.004935,0.013939,0.009317,-0.009024,0.011251
5.560,-0.056252,-0.045315,-0.025819,-0.005502,-0.000601,0.011468,-0.008006,0.009882,0.012919,-0.010793,0.005514
5.570,-0.034711,-0.037617,-0.015493,0.008529,0.012272,0.017907,-0.015315,-0.002317,0.004695,-0.000665,-0.006707
5.580,-0.007002,-0.025970,-0.001607,0.019809,0.019364,0.014531,-0.011851,-0.012607,-0.007828,0.010197,-0.011041
5.590,0.027959,-0.011596,0.012648,0.024699,0.017336,0.003192,-0.000052,-0.012509,-0.013184,0.009817,-0.002392
5.600,0.057752,0.003995,0.023997,0.021621,0.007141,-0.009897,0.011784,-0.002105,-0.006472,-0.001384,0.009070
5.610,0.066927,0.019167,0.029832,0.011568,-0.006417,-0.017562,0.015331,0.010034,0.006165,-0.011060,0.009867
5.620,0.052045,0.032327,0.028813,-0.002216,-0.016953,-0.015601,0.008094,0.013905,0.013158,-0.008543,-0.000939
5.630,0.025725,0.042092,0.021174,-0.015286,-0.019503,-0.005090,-0.004837,0.006319,0.008106,0.003391,-0.010640
5.640,0.006578,0.047438,0.008669,-0.023424,-0.012867,0.008211,-0.014365,-0.006474,-0.004367,0.011587,-0.007830
5.650,0.005445,0.047803,-0.005827,-0.024006,-0.000170,0.017012,-0.013789,-0.013933,-0.012842,0.007010,0.004187
5.660,0.019416,0.043149,-0.018985,-0.016844,0.012607,0.016489,-0.003513,-0.009911,-0.009561,-0.005295,0.011281
5.670,0.035640,0.033964,-0.027780,-0.004248,0.019446,0.006929,0.009234,0.002277,0.002472,-0.011763,0.005109
5.680,0.039419,0.021214,-0.030193,0.009718,0.017125,-0.006428,0.015486,0.012589,0.012243,-0.005264,-0.007070
5.690,0.021873,0.006236,-0.025668,0.020550,0.006737,-0.016262,0.010845,0.012528,0.010806,0.007038,-0.010936
5.700,-0.014062,-0.009397,-0.015246,0.024752,-0.006823,-0.017184,-0.001424,0.002145,-0.000523,0.011581,-0.001942
5.710,-0.051629,-0.024043,-0.001320,0.020969,-0.017170,-0.008687,-0.012691,-0.010006,-0.011373,0.003358,0.009335
5.720,-0.067379,-0.036164,0.012908,0.010422,-0.019429,0.004570,-0.015031,-0.013912,-0.011812,-0.008567,0.009636
5.730,-0.048051,-0.044489,0.024171,-0.003487,-0.012536,0.015323,-0.006798,-0.006355,-0.001437,-0.011048,-0.001394
5.740,-0.005821,-0.048142,0.029880,-0.016271,0.000262,0.017678,0.006217,0.006438,0.010253,-0.001350,-0.010785
5.750,0.025142,-0.046741,0.028724,-0.023807,0.012936,0.010344,0.014859,0.013926,0.012557,0.009837,-0.007494
5.760,0.014875,-0.040432,0.020968,-0.023662,0.019517,-0.002659,0.013049,0.009940,0.003366,0.010179,0.004609
5.770,-0.033158,-0.029878,0.008394,-0.015885,0.016905,-0.014205,0.002060,-0.002236,-0.008906,-0.000700,0.011292
5.780,-0.078998,-0.016187,-0.006108,-0.002983,0.006330,-0.017966,-0.010378,-0.012570,-0.013026,-0.010807,0.004697
5.790,-0.077936,-0.000796,-0.019207,0.010881,-0.007227,-0.011880,-0.015516,-0.012547,-0.005221,-0.009001,-0.007422
