log10_x,pi_100,pi_1000,pi_10000,zero_line
227.6,-0.004989,-0.004718,-0.005570,0.0
227.8,-0.006622,-0.008521,-0.008030,0.0
228.0,-0.015389,-0.015355,-0.016281,0.0
228.2,0.020504,0.019999,0.021120,0.0
228.4,-0.003492,-0.004158,-0.004870,0.0
228.6,0.001486,0.003941,0.004247,0.0
228.8,0.008138,0.008390,0.007948,0.0
229.0,0.032236,0.025922,0.026639,0.0
229.2,0.009071,0.012946,0.013031,0.0
229.4,0.008233,0.007585,0.006732,0.0
229.6,0.012832,0.015299,0.015084,0.0
229.8,0.027222,0.027146,0.026832,0.0
230.0,0.017082,0.020779,0.020880,0.0
230.2,-0.008593,-0.008585,-0.007851,0.0
230.4,-0.023777,-0.028514,-0.026833,0.0
230.6,0.005661,0.010767,0.012248,0.0
230.8,0.010571,0.011206,0.010028,0.0
231.0,-0.023495,-0.018385,-0.019140,0.0
231.2,0.004656,0.006403,0.007137,0.0
231.4,-0.035071,-0.033878,-0.034365,0.0
231.6,-0.005248,-0.002137,-0.002773,0.0
231.8,-0.037087,-0.040009,-0.038731,0.0
232.0,-0.017831,-0.021850,-0.018745,0.0
232.2,-0.020655,-0.024958,-0.025237,0.0
232.4,0.007466,0.006437,0.005932,0.0
232.6,-0.014533,-0.016558,-0.016695,0.0
232.8,-0.029461,-0.028849,-0.029076,0.0
233.0,-0.007577,-0.007798,-0.009170,0.0
233.2,-0.027293,-0.028920,-0.028078,0.0
233.4,0.020178,0.025006,0.025620,0.0
233.6,-0.007980,-0.009107,-0.009277,0.0
233.8,0.005161,0.007017,0.006655,0.0
234.0,0.005935,0.001266,0.001345,0.0
234.2,0.023255,0.024481,0.024738,0.0
234.4,0.000162,0.002283,0.001511,0.0
234.6,0.031045,0.033504,0.032442,0.0
234.8,0.014758,0.017257,0.017233,0.0
235.0,0.033462,0.036612,0.036304,0.0
235.2,0.005235,0.002361,0.003255,0.0
235.4,0.008978,0.010547,0.009098,0.0
235.6,0.009628,0.012508,0.012244,0.0
235.8,0.014539,0.012099,0.011322,0.0
236.0,0.004860,0.005291,0.005945,0.0
236.2,-0.018798,-0.020220,-0.021378,0.0
236.4,0.001691,0.003141,0.002684,0.0
236.6,-0.033304,-0.032469,-0.033183,0.0
236.8,0.000617,0.001972,0.001510,0.0
237.0,-0.003787,-0.004946,-0.005836,0.0
237.2,-0.022746,-0.024840,-0.024225,0.0
237.4,-0.025595,-0.024697,-0.025016,0.0
237.6,-0.028845,-0.029252,-0.030622,0.0
237.8,-0.011426,-0.012070,-0.011325,0.0
238.0,-0.027317,-0.025500,-0.026257,0.0
238.2,-0.009662,-0.008757,-0.009476,0.0
238.4,-0.017954,-0.017771,-0.018648,0.0
238.6,0.005693,0.000700,0.000171,0.0
238.8,-0.024283,-0.024583,-0.022737,0.0
239.0,-0.012348,-0.012140,-0.012666,0.0
239.2,0.005222,0.004501,0.005772,0.0
239.4,0.032055,0.033368,0.033051,0.0
239.6,0.020467,0.020422,0.020035,0.0
239.8,0.014875,0.009969,0.010697,0.0
240.0,-0.021542,-0.025955,-0.027316,0.0
240.2,-0.006609,-0.009648,-0.009736,0.0
240.4,0.030258,0.029070,0.028332,0.0
240.6,0.020428,0.020309,0.019927,0.0
240.8,0.031839,0.027126,0.027504,0.0
241.0,-0.002843,-0.002856,-0.001896,0.0
241.2,0.023242,0.022566,0.023257,0.0
241.4,-0.003938,-0.000276,-0.000430,0.0
241.6,0.001956,-0.000567,-0.001716,0.0
241.8,-0.009238,-0.011012,-0.010902,0.0
242.0,0.006172,0.005112,0.004523,0.0
242.2,-0.019019,-0.017271,-0.017327,0.0
242.4,-0.037247,-0.035476,-0.035709,0.0
242.6,-0.015666,-0.014275,-0.013292,0.0
242.8,-0.004521,-0.003272,-0.003703,0.0
243.0,0.005716,0.006807,0.006908,0.0
243.2,-0.019879,-0.019658,-0.018747,0.0
243.4,-0.033506,-0.030212,-0.030316,0.0
243.6,-0.040072,-0.041049,-0.040837,0.0
243.8,-0.007033,-0.008131,-0.007922,0.0
244.0,-0.018182,-0.019233,-0.018914,0.0
244.2,0.000149,0.000093,-0.001038,0.0
244.4,-0.013534,-0.010834,-0.010542,0.0
244.6,0.003018,0.006497,0.005973,0.0
244.8,-0.013885,-0.014320,-0.014628,0.0
245.0,-0.001301,-0.002827,-0.003899,0.0
245.2,0.008018,0.006767,0.007609,0.0
245.4,0.024605,0.028531,0.028993,0.0
245.6,0.018321,0.022909,0.021722,0.0
245.8,-0.003973,-0.000557,-0.000088,0.0
246.0,0.017220,0.017741,0.016767,0.0
246.2,0.010608,0.011566,0.011686,0.0
246.4,0.021897,0.022805,0.021966,0.0
246.6,0.012202,0.016724,0.016250,0.0
246.8,0.002032,0.002990,0.003692,0.0
247.0,-0.002012,-0.000843,-0.002209,0.0
247.2,0.000092,-0.003229,-0.001985,0.0
247.4,-0.013945,-0.013044,-0.012817,0.0
247.6,-0.008387,-0.007552,-0.006613,0.0
247.8,-0.006268,-0.003614,-0.003624,0.0
248.0,-0.012447,-0.014987,-0.014826,0.0
248.2,-0.019932,-0.020000,-0.018759,0.0
248.4,-0.026296,-0.022679,-0.022181,0.0
248.6,-0.017377,-0.019397,-0.019209,0.0
248.8,-0.020073,-0.016139,-0.017238,0.0
249.0,-0.005965,-0.009440,-0.009354,0.0
249.2,-0.029704,-0.031739,-0.031269,0.0
249.4,-0.002852,-0.003688,-0.003647,0.0
249.6,-0.030130,-0.031775,-0.029882,0.0
249.8,-0.004526,-0.003253,-0.004007,0.0
250.0,0.002358,0.005360,0.005218,0.0
250.2,-0.010425,-0.010134,-0.011200,0.0
250.4,0.017883,0.018938,0.019658,0.0
250.6,-0.010706,-0.007770,-0.008420,0.0
250.8,0.023052,0.023748,0.023232,0.0
251.0,0.006316,0.007281,0.007816,0.0
251.2,0.035993,0.035284,0.039339,0.0
251.4,0.013500,0.013683,0.012491,0.0
251.6,0.025094,0.023407,0.023401,0.0
251.8,0.004193,0.001791,0.001639,0.0
252.0,-0.001077,-0.002626,-0.003547,0.0
