log10_x,5_waves,10_waves,20_waves,50_waves,100_waves,500_waves
11.00,-0.090788,-0.118174,-0.088344,-0.085655,-0.057255,-0.054338
11.05,0.126798,0.135095,0.121990,0.128652,0.124295,0.124635
11.10,-0.051255,-0.029654,-0.045879,-0.036770,-0.045728,-0.025571
11.15,-0.032842,-0.006476,0.014080,-0.013674,0.003129,-0.001306
11.20,0.017809,0.030959,0.012908,-0.015083,0.005687,0.014767
11.25,0.027273,0.005458,-0.009862,0.010569,0.000346,-0.007107
11.30,-0.001252,-0.006881,-0.032384,-0.051986,-0.069399,-0.061306
11.35,-0.037499,-0.006255,-0.028290,-0.033480,-0.032328,-0.012794
11.40,-0.006288,-0.015038,0.013747,0.016943,0.049677,0.020447
11.45,0.066083,0.020935,0.028415,0.027270,0.037747,0.057265
11.50,-0.023494,-0.018347,-0.000928,0.000509,0.024135,0.023144
11.55,-0.072587,-0.041554,-0.025940,-0.065329,-0.057810,-0.048674
11.60,0.088682,0.080216,0.080611,0.098041,0.087209,0.076309
11.65,-0.039470,-0.055325,-0.043306,-0.037986,-0.027717,-0.027464
11.70,0.040274,0.040292,0.041888,0.044010,0.052026,0.055462
11.75,-0.078252,-0.084500,-0.068021,-0.072686,-0.093882,-0.093898
11.80,0.039326,0.046170,0.039391,0.059434,0.050718,0.055991
11.85,0.061108,0.085422,0.085310,0.060319,0.055257,0.043185
11.90,-0.086020,-0.079603,-0.051437,-0.029663,-0.032978,-0.055445
11.95,0.017736,0.018454,0.009450,0.008122,0.007416,0.000533
12.00,0.015230,0.022660,0.027324,0.003775,0.008520,-0.006981
12.05,0.025940,0.010708,0.031969,0.072234,0.058829,0.068124
12.10,-0.032866,-0.051979,-0.057725,-0.067863,-0.074188,-0.073994
12.15,-0.028610,-0.029323,-0.045865,-0.004843,0.006371,-0.005064
12.20,0.043906,0.019799,0.027055,0.002137,-0.002461,0.010712
12.25,0.033051,0.006793,0.032396,0.049555,0.033357,0.050848
12.30,-0.082084,-0.041298,-0.039136,-0.036148,-0.029338,-0.022823
12.35,0.028944,0.082586,0.063445,0.090670,0.094417,0.091539
12.40,0.025471,0.017162,-0.010507,-0.002198,-0.005397,0.006073
12.45,0.002628,-0.013349,-0.027170,-0.023435,-0.002700,-0.041742
12.50,-0.029618,-0.014855,-0.027155,-0.023215,-0.019383,-0.016410
12.55,-0.024395,-0.026463,-0.054409,-0.055387,-0.058097,-0.047801
12.60,0.072635,0.047650,0.017829,-0.004601,-0.027766,-0.011447
12.65,-0.020221,-0.042749,-0.055533,-0.110399,-0.109926,-0.108365
12.70,-0.052778,-0.068964,-0.050736,-0.052292,-0.035099,-0.051343
12.75,0.031622,0.044848,0.049660,0.025842,0.054057,0.063321
12.80,0.028646,0.063450,0.075461,0.066738,0.052637,0.013053
12.85,-0.014522,-0.013329,-0.014547,-0.013645,-0.016022,-0.018056
12.90,-0.032169,-0.046710,-0.085063,-0.079829,-0.068214,-0.059652
12.95,0.000635,0.015980,0.022094,0.019544,0.010295,0.012875
13.00,0.069536,0.074341,0.070513,0.038453,0.014655,0.001753
13.05,-0.055220,-0.074071,-0.093861,-0.090448,-0.108057,-0.129370
13.10,-0.019760,-0.009507,-0.004408,0.009208,-0.011957,-0.006012
13.15,0.025268,0.038611,0.057586,0.083832,0.076299,0.074444
13.20,0.036944,0.011095,0.049333,0.034032,0.026590,0.019867
13.25,-0.042425,-0.051257,-0.040512,-0.006103,-0.026959,-0.030455
13.30,-0.020163,0.003438,0.038867,0.034742,0.017884,0.026350
13.35,0.031986,0.022751,0.058242,0.062340,0.062436,0.092097
13.40,0.024850,-0.007107,-0.018310,0.010071,-0.000649,0.001542
13.45,-0.028542,-0.029407,-0.019608,-0.027401,-0.046878,-0.059707
13.50,-0.052119,-0.029567,-0.029994,0.006750,0.017308,0.017205
13.55,0.092317,0.121679,0.140886,0.128148,0.122576,0.098026
13.60,-0.036846,-0.016466,0.006444,0.007497,0.018714,0.017011
13.65,-0.004161,-0.020724,-0.039431,-0.057754,-0.055760,-0.035622
13.70,-0.034279,-0.052053,-0.049990,-0.018307,-0.000780,0.019683
13.75,0.054030,0.070639,0.079053,0.058672,0.054770,0.073350
13.80,0.011199,-0.000011,0.005302,-0.011468,-0.010122,-0.008578
13.85,-0.060753,-0.114206,-0.123097,-0.133071,-0.109348,-0.119724
13.90,0.011779,0.002360,-0.016308,0.022243,0.025481,0.023402
13.95,0.042239,0.076956,0.065284,0.075975,0.089537,0.091123
14.00,0.000239,0.014048,-0.003299,-0.028296,-0.033198,-0.038795
14.05,-0.066459,-0.053813,-0.046382,-0.054659,-0.066896,-0.085873
14.10,0.051313,0.077443,0.068330,0.040772,0.034017,0.011482
14.15,-0.012117,-0.017423,-0.070225,-0.080887,-0.086641,-0.056240
14.20,0.049318,0.028028,-0.007855,-0.022647,-0.006937,0.000630
14.25,-0.103103,-0.103624,-0.109968,-0.125552,-0.118541,-0.124530
14.30,0.056594,0.049367,0.028151,0.035971,0.018041,0.048067
14.35,0.043603,0.024993,-0.000850,-0.001499,0.008797,0.008945
14.40,-0.064497,-0.067340,-0.061335,-0.073772,-0.055631,-0.072596
14.45,0.019964,0.021841,0.029225,0.052591,0.050336,0.042260
14.50,-0.027549,-0.017068,-0.001095,0.016746,0.011190,0.011756
14.55,0.077889,0.105245,0.118089,0.132989,0.115948,0.109398
14.60,-0.055774,-0.062981,-0.060185,-0.064293,-0.069635,-0.066568
14.65,-0.028654,-0.065724,-0.054810,-0.078236,-0.072722,-0.080972
14.70,0.041568,0.057336,0.041780,0.050467,0.054403,0.043348
14.75,0.034613,0.078008,0.071301,0.073287,0.074045,0.076047
14.80,-0.069553,-0.081677,-0.072346,-0.071776,-0.084901,-0.065503
14.85,0.020567,-0.006028,0.025602,0.045747,0.045376,0.043520
14.90,0.003940,0.015943,0.056384,0.049187,0.078763,0.089263
14.95,0.035862,0.040745,0.050132,0.054328,0.054180,0.047546
15.00,-0.031028,-0.050189,-0.006027,0.001142,0.037347,0.019464
15.05,-0.062126,-0.076347,-0.050184,-0.018073,-0.011555,-0.001303
15.10,0.120736,0.107777,0.115955,0.090114,0.096297,0.093328
15.15,-0.066287,-0.064394,-0.034493,-0.030443,-0.014315,0.000588
15.20,-0.000583,0.033667,0.009806,0.017742,0.020212,0.041809
15.25,-0.010717,0.013540,-0.007686,-0.003153,0.009158,0.003009
15.30,0.024614,0.025356,0.030763,0.027435,0.020570,0.033557
15.35,0.035547,0.044174,0.061614,0.067486,0.084268,0.079855
15.40,-0.082825,-0.091490,-0.091367,-0.087791,-0.098739,-0.089155
15.45,0.022137,-0.014323,-0.052677,-0.061387,-0.071476,-0.092825
15.50,0.063827,0.056201,0.056043,0.050483,0.060799,0.057987
15.55,-0.052416,-0.045971,-0.051278,-0.031666,-0.031312,-0.026774
15.60,-0.008693,-0.037486,-0.056644,-0.079753,-0.096865,-0.090933
15.65,0.005510,0.000068,-0.013843,-0.034499,-0.023427,-0.019094
15.70,0.026788,0.080277,0.045546,0.017395,0.013629,0.034971
15.75,0.016500,0.046973,0.037606,-0.005415,-0.018074,-0.007756
15.80,-0.091631,-0.110740,-0.122350,-0.119540,-0.136254,-0.149743
15.85,0.071283,0.058521,0.032873,0.007269,0.028800,0.048033
15.90,0.021676,0.022233,0.009239,0.031526,0.044012,0.055930
15.95,-0.049586,-0.049630,-0.067015,-0.034143,-0.013165,-0.027818
16.00,0.001519,0.001843,-0.024857,-0.017223,0.004266,0.020309
16.05,0.006101,-0.012511,-0.026347,-0.017617,-0.020572,-0.011225
16.10,0.038562,0.020972,0.037714,0.043887,0.030405,0.003859
16.15,-0.021699,0.003045,0.017987,0.019650,0.016548,0.000204
16.20,-0.067223,-0.048273,-0.029260,-0.011943,-0.025953,-0.042545
16.25,0.095205,0.068470,0.097128,0.081270,0.055503,0.046407
16.30,-0.019557,-0.029066,-0.014926,0.012171,-0.004287,0.020119
16.35,-0.037657,-0.015895,-0.013075,0.006698,-0.002303,0.021734
16.40,0.012529,0.012437,0.029086,0.030416,0.055529,0.051822
16.45,-0.002718,0.000261,0.022624,0.013603,0.003679,0.007814
16.50,0.064283,0.094475,0.070262,0.086126,0.083488,0.081485
16.55,-0.093770,-0.095516,-0.096323,-0.093562,-0.101348,-0.117513
16.60,0.022911,-0.010575,0.032680,0.038531,0.016360,0.015689
16.65,0.042289,0.035474,0.069448,0.073846,0.050555,0.034040
16.70,-0.006347,-0.004662,0.032661,0.027149,0.019007,0.018010
16.75,-0.047959,-0.066630,-0.066876,-0.096238,-0.083835,-0.085902
16.80,0.019559,0.008618,0.014987,0.001933,0.018030,0.008196
16.85,0.026324,0.032655,0.050776,0.055398,0.061381,0.081645
16.90,0.006488,0.031084,0.015307,-0.008478,0.006080,0.007976
16.95,-0.051973,-0.005914,-0.022288,-0.041223,-0.057254,-0.047482
17.00,0.001627,0.013696,-0.019035,-0.004572,-0.015512,-0.026547
17.05,0.086196,0.044805,0.036665,0.052656,0.048364,0.056547
17.10,-0.084418,-0.099040,-0.106432,-0.118413,-0.137906,-0.152312
17.15,0.023271,0.042011,0.027606,0.013810,0.001725,-0.019261
17.20,-0.023981,-0.047883,-0.033128,-0.056650,-0.044202,-0.031880
17.25,0.069099,0.032192,-0.001487,-0.014896,-0.013632,-0.015109
17.30,-0.042603,-0.028135,-0.049489,-0.041470,-0.044999,-0.053317
17.35,-0.039925,-0.014396,-0.011626,-0.022393,-0.017916,0.002722
17.40,0.050905,0.058360,0.031557,0.059785,0.065138,0.087570
17.45,0.012658,0.027869,0.016293,0.053480,0.042720,0.061611
17.50,-0.021243,-0.017402,-0.022941,-0.031680,-0.046564,-0.037744
17.55,-0.048838,-0.066989,-0.069653,-0.050418,-0.045135,-0.044691
17.60,0.076056,0.073993,0.053302,0.051754,0.044998,0.042649
17.65,-0.023825,-0.016901,-0.029356,0.006615,-0.014648,-0.016125
17.70,0.004956,-0.000518,0.019288,0.019259,0.024467,0.029042
17.75,-0.061186,-0.058951,-0.062287,-0.090183,-0.070188,-0.034983
17.80,0.078169,0.074877,0.067424,0.051670,0.045289,0.050474
17.85,-0.000255,-0.022291,-0.016804,0.000864,0.006397,0.026266
17.90,-0.058978,-0.051939,-0.024072,-0.051131,-0.053102,-0.043636
17.95,0.021219,0.044041,0.090648,0.120012,0.106871,0.120445
18.00,0.018391,-0.007144,0.013663,-0.002168,-0.021090,-0.037449
18.05,0.024420,0.001534,-0.004639,0.006114,0.014698,-0.001255
18.10,-0.066144,-0.021939,-0.016409,-0.011684,0.014455,0.007399
18.15,0.020582,0.061019,0.075073,0.061752,0.071231,0.070356
18.20,0.029983,0.016218,0.005896,0.045095,0.028002,0.004264
18.25,0.014516,-0.002846,-0.000800,-0.033413,-0.029043,-0.015908
18.30,-0.080900,-0.087880,-0.085982,-0.075761,-0.063970,-0.093110
18.35,0.052783,0.037922,0.034954,0.007256,0.030099,0.024712
18.40,0.019327,0.009200,0.041811,0.039189,0.038048,0.025863
18.45,-0.018731,-0.031793,-0.002086,0.020631,0.018199,0.015354
18.50,-0.019855,-0.033562,-0.024924,-0.034904,-0.023023,-0.013624
18.55,-0.013704,0.012675,-0.009671,-0.038456,-0.023076,-0.017909
18.60,0.083109,0.124999,0.116303,0.116999,0.136740,0.154561
18.65,-0.063189,-0.058625,-0.063260,-0.051333,-0.056574,-0.072658
18.70,-0.026094,-0.027673,-0.073308,-0.099232,-0.094508,-0.090035
18.75,0.049053,0.055406,0.049202,0.049430,0.046208,0.014589
18.80,0.005058,-0.023981,-0.030256,-0.035141,-0.043487,-0.055143
18.85,-0.017236,-0.046700,-0.060081,-0.069475,-0.067214,-0.085010
18.90,-0.028545,-0.011502,-0.005178,-0.017991,0.005280,0.006388
18.95,0.018381,0.022893,0.010820,0.014074,0.025018,0.045426
19.00,0.063173,0.035706,0.054484,0.093672,0.086994,0.085123
19.05,-0.086627,-0.077608,-0.078330,-0.046908,-0.037170,-0.014570
19.10,0.009066,0.045596,0.017995,0.034440,0.035134,0.014487
19.15,0.046814,0.052193,0.041101,0.027745,0.020763,0.029060
19.20,-0.014056,-0.028757,-0.030176,-0.007201,-0.001082,-0.005565
19.25,-0.009815,-0.021310,0.001041,-0.028382,-0.029015,-0.027605
19.30,-0.036638,-0.037385,-0.050415,-0.006121,-0.008111,-0.007254
19.35,0.055580,0.080715,0.070981,0.033195,0.058810,0.053469
19.40,0.019539,0.033257,0.042060,0.054168,0.059458,0.075197
19.45,-0.081737,-0.114491,-0.126974,-0.115573,-0.138282,-0.122037
19.50,0.032801,0.015341,0.037032,0.026898,0.026818,0.020763
19.55,0.044330,0.066355,0.080478,0.104603,0.112601,0.119708
19.60,-0.041704,-0.050762,-0.064818,-0.111608,-0.105550,-0.097734
19.65,0.015869,-0.015055,-0.007343,0.011097,0.012328,0.028491
19.70,-0.059189,-0.047430,-0.013514,-0.023952,-0.050853,-0.058129
19.75,0.105692,0.129286,0.151813,0.155039,0.137959,0.091310
19.80,-0.046941,-0.041171,-0.054689,-0.064748,-0.063213,-0.033376
19.85,-0.056663,-0.032483,-0.045387,-0.052617,-0.047324,-0.045960
19.90,0.070837,0.091251,0.082964,0.056431,0.053596,0.056014
19.95,-0.018051,-0.043099,-0.052186,-0.043191,-0.053866,-0.031599
20.00,0.018854,-0.012216,-0.020437,-0.065799,-0.043233,-0.021156
20.05,-0.061637,-0.072131,-0.071187,-0.073716,-0.079675,-0.081705
20.10,0.035876,0.026414,0.041120,0.084583,0.111588,0.099062
20.15,0.039937,0.039900,0.055826,0.033477,0.028891,0.021198
20.20,-0.035530,-0.029297,-0.015997,0.000159,-0.015422,-0.028188
20.25,-0.052549,-0.053803,-0.054179,-0.054065,-0.055956,-0.064177
20.30,0.087673,0.116139,0.133001,0.142690,0.143305,0.137874
20.35,-0.033539,0.012899,0.002596,-0.002580,-0.002849,0.001620
20.40,0.003130,-0.012701,-0.056942,-0.059893,-0.054990,-0.054108
20.45,-0.033491,-0.082462,-0.084315,-0.042599,-0.039869,-0.033764
20.50,0.017477,0.022428,0.015351,0.026182,-0.000158,0.003562
20.55,0.078968,0.098018,0.103176,0.119131,0.109165,0.095065
20.60,-0.130509,-0.151459,-0.131274,-0.131626,-0.136367,-0.132153
20.65,0.069598,0.056525,0.057761,0.073257,0.065444,0.060763
20.70,-0.005589,0.006097,0.010692,-0.023901,-0.034500,-0.036399
20.75,0.024141,0.027794,0.025721,0.028529,0.008097,-0.014880
20.80,-0.042110,-0.036286,-0.007956,-0.017971,-0.041917,-0.006204
20.85,-0.016241,-0.009548,-0.017539,-0.006774,0.008857,-0.020451
20.90,0.062979,0.050204,0.006279,-0.007576,-0.010003,0.000991
20.95,-0.010452,-0.011549,-0.005110,-0.030694,-0.033600,-0.024152
21.00,-0.054228,-0.033812,-0.034179,-0.027917,-0.058003,-0.052823
21.05,0.019019,0.023581,0.032166,0.029582,0.033438,0.020395
21.10,0.053749,0.055486,0.049022,0.058280,0.058068,0.037068
21.15,-0.048396,-0.040161,-0.067507,-0.082370,-0.088036,-0.072519
21.20,0.007194,-0.021915,-0.013334,0.001480,-0.013292,-0.004254
21.25,-0.036798,-0.073378,-0.076169,-0.088191,-0.082851,-0.092507
21.30,0.093241,0.110445,0.106378,0.138608,0.154971,0.142810
21.35,-0.057947,-0.041602,-0.041595,-0.064317,-0.052812,-0.060810
21.40,-0.035397,-0.060803,-0.055269,-0.044046,-0.042286,-0.030070
21.45,0.052802,0.059144,0.064713,0.060576,0.056047,0.026741
21.50,0.001758,0.052990,0.040724,0.004298,0.020151,0.029850
21.55,-0.004782,0.018623,0.029822,0.055725,0.050189,0.051950
21.60,-0.050873,-0.064548,-0.068162,-0.065644,-0.057255,-0.037582
21.65,0.048099,0.024071,-0.002318,-0.026699,-0.032134,-0.036284
21.70,0.023187,-0.004093,-0.007814,0.001575,0.014865,0.007804
21.75,-0.037617,-0.043649,-0.040856,-0.052310,-0.027586,-0.043240
21.80,-0.032958,-0.025576,-0.022779,-0.013792,-0.016719,0.005894
21.85,0.063456,0.046881,0.078100,0.078165,0.078440,0.070560
21.90,-0.004287,-0.008203,0.033698,0.044907,0.042807,0.058104
21.95,-0.032173,0.007580,0.010395,0.041294,0.012947,0.007137
22.00,-0.013691,0.006615,0.008764,-0.010920,-0.018959,-0.016516
22.05,0.039558,0.026074,0.040225,0.035908,0.028724,0.020786
22.10,0.018305,0.023675,0.031262,0.048964,0.065955,0.047990
22.15,-0.057453,-0.057898,-0.066466,-0.063311,-0.047013,-0.042962
22.20,-0.000420,-0.031082,-0.063803,-0.030976,-0.016238,-0.027691
22.25,0.058519,0.058208,0.059552,0.029136,0.025836,0.024540
22.30,-0.019739,0.008052,0.030324,0.011145,-0.002687,-0.011723
22.35,-0.038444,-0.047967,-0.022750,-0.013975,-0.000403,-0.004512
22.40,0.014453,-0.010504,-0.003595,0.001369,0.003645,-0.026077
22.45,0.027986,0.031442,0.015151,0.027295,0.014191,0.044637
22.50,0.012085,0.021743,0.038804,0.023612,0.024536,0.022851
