n_zeros,mertens,liouville,skewes
1210000,4.021833,379995.2940,0.510050
1220000,4.026053,383021.2585,0.510363
1230000,4.030240,386046.3826,0.510673
1240000,4.034394,389070.6737,0.510981
1250000,4.038518,392094.1391,0.511286
1260000,4.042609,395116.7861,0.511589
1270000,4.046671,398138.6217,0.511889
1280000,4.050702,401159.6530,0.512187
1290000,4.054703,404179.8869,0.512483
1300000,4.058675,407199.3300,0.512776
1310000,4.062618,410217.9890,0.513067
1320000,4.066533,413235.8705,0.513356
1330000,4.070419,416252.9810,0.513643
1340000,4.074278,419269.3267,0.513927
1350000,4.078110,422284.9140,0.514209
1360000,4.081915,425299.7488,0.514490
1370000,4.085693,428313.8374,0.514768
1380000,4.089446,431327.1856,0.515044
1390000,4.093172,434339.7994,0.515318
1400000,4.096874,437351.6844,0.515590
1410000,4.100550,440362.8465,0.515860
1420000,4.104202,443373.2911,0.516128
1430000,4.107829,446383.0239,0.516394
1440000,4.111433,449392.0502,0.516658
1450000,4.115013,452400.3754,0.516920
1460000,4.118569,455408.0048,0.517181
1470000,4.122102,458414.9437,0.517440
1480000,4.125613,461421.1971,0.517697
1490000,4.129101,464426.7701,0.517952
1500000,4.132567,467431.6677,0.518206
1510000,4.136011,470435.8949,0.518457
1520000,4.139434,473439.4564,0.518707
1530000,4.142835,476442.3571,0.518956
1540000,4.146215,479444.6017,0.519203
1550000,4.149575,482446.1948,0.519448
1560000,4.152914,485447.1411,0.519691
1570000,4.156233,488447.4450,0.519933
1580000,4.159531,491447.1111,0.520174
1590000,4.162810,494446.1437,0.520413
1600000,4.166070,497444.5472,0.520650
1610000,4.169310,500442.3259,0.520886
1620000,4.172531,503439.4841,0.521120
1630000,4.175733,506436.0258,0.521353
1640000,4.178917,509431.9554,0.521585
1650000,4.182082,512427.2767,0.521815
1660000,4.185230,515421.9940,0.522043
1670000,4.188359,518416.1110,0.522271
1680000,4.191470,521409.6318,0.522496
1690000,4.194564,524402.5603,0.522721
1700000,4.197641,527394.9003,0.522944
1710000,4.200700,530386.6554,0.523166
1720000,4.203743,533377.8296,0.523386
1730000,4.206769,536368.4265,0.523605
1740000,4.209778,539358.4496,0.523823
1750000,4.212771,542347.9027,0.524040
1760000,4.215747,545336.7893,0.524255
1770000,4.218708,548325.1129,0.524470
1780000,4.221653,551312.8769,0.524683
1790000,4.224582,554300.0849,0.524894
1800000,4.227495,557286.7401,0.525105
1810000,4.230394,560272.8460,0.525314
1820000,4.233277,563258.4059,0.525522
1830000,4.236145,566243.4230,0.525729
1840000,4.238998,569227.9006,0.525935
1850000,4.241837,572211.8419,0.526140
1860000,4.244661,575195.2500,0.526343
1870000,4.247470,578178.1281,0.526546
1880000,4.250266,581160.4793,0.526747
1890000,4.253047,584142.3066,0.526948
1900000,4.255814,587123.6131,0.527147
1910000,4.258568,590104.4017,0.527345
1920000,4.261308,593084.6754,0.527542
1930000,4.264034,596064.4372,0.527738
1940000,4.266747,599043.6899,0.527933
1950000,4.269447,602022.4365,0.528127
1960000,4.272133,605000.6796,0.528320
1970000,4.274807,607978.4222,0.528512
1980000,4.277468,610955.6671,0.528703
1990000,4.280116,613932.4168,0.528893
2000000,4.282751,616908.6743,0.529083
