################################################################
#  WORST-CASE GAMMA SEARCH                                     #
#                                                              #
#  For each N: sample diverse IC classes, measure gamma.       #
#  Report the MAXIMUM gamma found.                             #
#  If max gamma < 2 at all N: subcritical transfer.            #
################################################################

  N     IC_type          alpha  phase   t      gamma    max_eta   E_tot     Omega
  3     single_shell_2   0.0    0.5    0.0500   +2.434  3329.4120  4.70e+00  2.31e+01
  3     single_shell_3   0.0    0.5    0.0000  -999.000    0.0000  4.53e+00  3.99e+01
  3     single_shell_3   0.0    0.5    0.0100   +2.395  19981.7602  4.52e+00  3.98e+01
  3     single_shell_3   0.0    0.5    0.0500   +2.393  3302.9887  4.49e+00  3.94e+01
  3     random_phase     0.95   rnd    0.0000  -999.000    0.0000  2.91e-01  1.44e+00
  3     random_phase     2.28   rnd    0.0000  -999.000    0.0000  6.28e-02  1.64e-01
  3     random_phase     0.61   rnd    0.0000  -999.000    0.0000  4.36e-01  2.27e+00
  3     random_phase     1.11   rnd    0.0000  -999.000    0.0000  1.91e-01  9.31e-01
  3     random_phase     0.98   rnd    0.0000  -999.000    0.0000  2.29e-01  1.09e+00

  >>> N=3: WORST gamma = +4.7104 (from: spectral a=0.0 p=3.7 t=0.05)
  >>> N=3: WORST eta   = 19993.512773
  >>> N=3: gamma < 2?  **NO** (margin = -2.7104)

  4     spectral_decay   0.0    0.3    0.0000  -999.000    0.0000  2.87e+01  2.87e+02
  4     spectral_decay   0.0    0.3    0.0100   +3.732    5.0598  2.86e+01  2.87e+02
  4     spectral_decay   0.0    0.3    0.0500   +3.170   25.2032  2.84e+01  2.82e+02
  4     spectral_decay   0.0    0.7    0.0000  -999.000    0.0000  2.83e+01  2.89e+02
  4     spectral_decay   0.0    0.7    0.0100   +2.152    6.3012  2.82e+01  2.88e+02
  4     spectral_decay   0.0    0.7    0.0500   +1.822   57.9705  2.80e+01  2.84e+02
  4     spectral_decay   0.0    1.1    0.0000  -999.000    0.0000  2.94e+01  3.00e+02
  4     spectral_decay   0.0    1.1    0.0100   +1.735   75.1527  2.93e+01  2.99e+02
  4     spectral_decay   0.0    1.1    0.0500   +1.599  338.5034  2.90e+01  2.97e+02
  4     spectral_decay   0.0    2.3    0.0000  -999.000    0.0000  2.79e+01  2.68e+02
  4     spectral_decay   0.0    2.3    0.0100   +0.508   74.8555  2.78e+01  2.67e+02
  4     spectral_decay   0.0    2.3    0.0500   +0.047  334.1706  2.76e+01  2.63e+02
  4     spectral_decay   0.0    3.7    0.0000  -999.000    0.0000  2.80e+01  2.86e+02
  4     spectral_decay   0.0    3.7    0.0100   +1.816    5.6714  2.80e+01  2.85e+02
  4     spectral_decay   0.0    3.7    0.0500   +2.759   20.1627  2.77e+01  2.80e+02
  4     spectral_decay   0.5    0.3    0.0000  -999.000    0.0000  9.85e+00  8.89e+01
  4     spectral_decay   0.5    0.3    0.0100   +1.739    8.5326  9.83e+00  8.87e+01
  4     spectral_decay   0.5    0.3    0.0500   +1.687   45.3695  9.74e+00  8.80e+01
  4     spectral_decay   0.5    0.7    0.0000  -999.000    0.0000  9.60e+00  8.86e+01
  4     spectral_decay   0.5    0.7    0.0100   +1.246    4.9384  9.58e+00  8.84e+01
  4     spectral_decay   0.5    0.7    0.0500   +1.245   25.5449  9.49e+00  8.76e+01
  4     spectral_decay   0.5    1.1    0.0000  -999.000    0.0000  9.90e+00  9.21e+01
  4     spectral_decay   0.5    1.1    0.0100   +1.379    9.7392  9.88e+00  9.19e+01
  4     spectral_decay   0.5    1.1    0.0500   +1.543   52.0811  9.79e+00  9.13e+01
  4     spectral_decay   0.5    2.3    0.0000  -999.000    0.0000  9.71e+00  8.47e+01
  4     spectral_decay   0.5    2.3    0.0100   +0.400   12.2308  9.69e+00  8.45e+01
  4     spectral_decay   0.5    2.3    0.0500   +0.675   65.6616  9.61e+00  8.37e+01
  4     spectral_decay   0.5    3.7    0.0000  -999.000    0.0000  9.60e+00  8.75e+01
  4     spectral_decay   0.5    3.7    0.0100   +1.154    8.6849  9.58e+00  8.73e+01
  4     spectral_decay   0.5    3.7    0.0500   +1.113   49.0660  9.49e+00  8.64e+01
  4     spectral_decay   1.0    0.3    0.0000  -999.000    0.0000  3.70e+00  2.87e+01
  4     spectral_decay   1.0    0.3    0.0100   +1.495    4.4782  3.70e+00  2.86e+01
  4     spectral_decay   1.0    0.3    0.0500   +1.483   25.9792  3.67e+00  2.85e+01
  4     spectral_decay   1.0    0.7    0.0000  -999.000    0.0000  3.58e+00  2.83e+01
  4     spectral_decay   1.0    0.7    0.0100   +1.128    2.8998  3.58e+00  2.82e+01
  4     spectral_decay   1.0    0.7    0.0500   +1.126   16.7762  3.55e+00  2.80e+01
  4     spectral_decay   1.0    1.1    0.0000  -999.000    0.0000  3.63e+00  2.94e+01
  4     spectral_decay   1.0    1.1    0.0100   +2.854    1.8517  3.62e+00  2.93e+01
  4     spectral_decay   1.0    1.1    0.0500   +2.908   10.8692  3.59e+00  2.91e+01
  4     spectral_decay   1.0    2.3    0.0000  -999.000    0.0000  3.67e+00  2.79e+01
  4     spectral_decay   1.0    2.3    0.0100   +1.686    1.5224  3.67e+00  2.78e+01
  4     spectral_decay   1.0    2.3    0.0500   +1.738    8.5383  3.64e+00  2.76e+01
  4     spectral_decay   1.0    3.7    0.0000  -999.000    0.0000  3.64e+00  2.80e+01
  4     spectral_decay   1.0    3.7    0.0100   +1.021    3.7758  3.63e+00  2.80e+01
  4     spectral_decay   1.0    3.7    0.0500   +1.016   22.1525  3.60e+00  2.77e+01
  4     spectral_decay   1.5    0.3    0.0000  -999.000    0.0000  1.58e+00  9.85e+00
  4     spectral_decay   1.5    0.3    0.0100   +1.210    2.0520  1.58e+00  9.83e+00
  4     spectral_decay   1.5    0.3    0.0500   +1.204   12.1318  1.57e+00  9.77e+00
  4     spectral_decay   1.5    0.7    0.0000  -999.000    0.0000  1.54e+00  9.60e+00
  4     spectral_decay   1.5    0.7    0.0100   +0.913    1.3606  1.54e+00  9.58e+00
  4     spectral_decay   1.5    0.7    0.0500   +0.911    8.0460  1.53e+00  9.51e+00
  4     spectral_decay   1.5    1.1    0.0000  -999.000    0.0000  1.49e+00  9.90e+00
  4     spectral_decay   1.5    1.1    0.0100   +2.929    0.8985  1.49e+00  9.88e+00
  4     spectral_decay   1.5    1.1    0.0500   +2.889    5.3125  1.48e+00  9.82e+00
  4     spectral_decay   1.5    2.3    0.0000  -999.000    0.0000  1.56e+00  9.71e+00
  4     spectral_decay   1.5    2.3    0.0100   +2.442    0.6085  1.56e+00  9.69e+00
  4     spectral_decay   1.5    2.3    0.0500   +2.412    3.5975  1.55e+00  9.62e+00
  4     spectral_decay   1.5    3.7    0.0000  -999.000    0.0000  1.59e+00  9.60e+00
  4     spectral_decay   1.5    3.7    0.0100   +0.856    1.4883  1.59e+00  9.58e+00
  4     spectral_decay   1.5    3.7    0.0500   +0.853    8.8226  1.58e+00  9.51e+00
  4     spectral_decay   2.0    0.3    0.0000  -999.000    0.0000  7.90e-01  3.70e+00
  4     spectral_decay   2.0    0.3    0.0100   +0.894    0.9596  7.90e-01  3.70e+00
  4     spectral_decay   2.0    0.3    0.0500   +0.890    5.7078  7.86e-01  3.68e+00
