############################################################
#  LEMMA 9.5 VERIFICATION                                  #
#                                                          #
#  Verify: R_K = |T_K| / (E · Ω^{1/2} · K^{γ-1})       #
#  is bounded at all K, all t, all (A, ν).                #
#  γ = 1.5 (from lemma proof)                            #
#                                                          #
#  If max R_K < ∞: Lemma holds with C = max R_K.         #
############################################################

  ν     Amp    Step    Time     Energy      Enstrophy   R_k=1     R_k=2     R_k=3     R_k=4     R_k=5     R_k=6     R_k=7     R_k=8     maxR    BOUNDED?
  0.010  0.3    1400     0.1400   13.578661  466.792670     0.0034    0.0069    0.0054    0.0059    0.0053    0.0046    0.0031    0.0001   0.0069  YES
  0.010  0.3    1600     0.1600   13.395243  464.094809     0.0034    0.0061    0.0032    0.0057    0.0022    0.0022    0.0032    0.0002   0.0061  YES
  0.010  0.3    1800     0.1800   13.212953  460.939142     0.0034    0.0056    0.0020    0.0058    0.0005    0.0004    0.0021    0.0001   0.0058  YES
  0.010  0.3    2000     0.2000   13.031950  457.325456     0.0035    0.0050    0.0014    0.0057    0.0021    0.0006    0.0001    0.0001   0.0057  YES
  0.010  0.3    2200     0.2200   12.852421  453.181932     0.0036    0.0043    0.0013    0.0049    0.0025    0.0011    0.0013    0.0001   0.0049  YES
  0.010  0.3    2400     0.2400   12.674581  448.467911     0.0036    0.0037    0.0014    0.0034    0.0018    0.0013    0.0018    0.0001   0.0037  YES
  0.010  0.3    2600     0.2600   12.498650  443.189780     0.0037    0.0031    0.0016    0.0014    0.0008    0.0015    0.0013    0.0001   0.0037  YES
  0.010  0.3    2800     0.2800   12.324832  437.418347     0.0036    0.0025    0.0016    0.0005    0.0001    0.0017    0.0003    0.0000   0.0036  YES
  0.010  0.3    3000     0.3000   12.153279  431.393825     0.0034    0.0020    0.0016    0.0018    0.0007    0.0015    0.0005    0.0000   0.0034  YES
  0.010  0.3    3200     0.3200   11.984019  425.540805     0.0031    0.0015    0.0015    0.0020    0.0012    0.0007    0.0005    0.0001   0.0031  YES
  0.010  0.3    3400     0.3400   11.816906  420.275248     0.0028    0.0011    0.0014    0.0016    0.0018    0.0002    0.0002    0.0001   0.0028  YES
  0.010  0.3    3600     0.3600   11.651670  415.785620     0.0025    0.0007    0.0015    0.0009    0.0026    0.0009    0.0012    0.0001   0.0026  YES
  0.010  0.3    3800     0.3800   11.488019  411.973814     0.0023    0.0003    0.0018    0.0005    0.0031    0.0011    0.0019    0.0001   0.0031  YES
  0.010  0.3    4000     0.4000   11.325742  408.529911     0.0021    0.0000    0.0020    0.0003    0.0032    0.0010    0.0020    0.0001   0.0032  YES
  0.010  0.3    4200     0.4200   11.164771  405.067496     0.0019    0.0002    0.0022    0.0003    0.0026    0.0010    0.0018    0.0000   0.0026  YES
  0.010  0.3    4400     0.4400   11.005181  401.278053     0.0017    0.0004    0.0023    0.0003    0.0019    0.0011    0.0015    0.0001   0.0023  YES
  0.010  0.3    4600     0.4600   10.847134  397.028858     0.0016    0.0004    0.0021    0.0002    0.0015    0.0013    0.0014    0.0003   0.0021  YES
  0.010  0.3    4800     0.4800   10.690814  392.348182     0.0015    0.0004    0.0018    0.0001    0.0014    0.0012    0.0016    0.0003   0.0018  YES
