################################################################
#  δ UNIVERSALITY: Is δ > 0 for ALL α > 0 configs?            #
#  144 configurations. Need δ > 0 in ALL of them.             #
#  Need δ ≥ 0.38 for β_eff > 2 at s=3.5.                    #
################################################################

  A      α     ν       N    t       δ          β_new(3.5)  closes?
  0.30   1.00  0.0010  8    0.0500    +0.7792      2.3992  YES
  0.30   1.00  0.0010  8    0.2000    +0.3437      1.9637  no
  0.30   1.50  0.0100  6    0.0500    -1.5312      0.0888  no
  0.30   1.50  0.0100  6    0.2000    -0.4552      1.1648  no
  0.30   1.50  0.0100  8    0.0500    +1.0643      2.6843  YES
  0.30   1.50  0.0100  8    0.2000    +0.7361      2.3561  YES
  0.30   1.50  0.0010  6    0.0500    -1.5305      0.0895  no
  0.30   1.50  0.0010  6    0.2000    -0.4527      1.1673  no
  0.30   1.50  0.0010  8    0.0500    +1.0604      2.6804  YES
  0.30   1.50  0.0010  8    0.2000    +0.7214      2.3414  YES
  0.30   2.00  0.0100  6    0.0500    -1.7967     -0.1767  no
  0.30   2.00  0.0100  6    0.2000    -0.6218      0.9982  no
  0.30   2.00  0.0100  8    0.0500    +1.2940      2.9140  YES
  0.30   2.00  0.0100  8    0.2000    +1.0362      2.6562  YES
  0.30   2.00  0.0010  6    0.0500    -1.7953     -0.1753  no
  0.30   2.00  0.0010  6    0.2000    -0.6164      1.0036  no
  0.30   2.00  0.0010  8    0.0500    +1.2905      2.9105  YES
  0.30   2.00  0.0010  8    0.2000    +1.0227      2.6427  YES

  === SUMMARY ===
  Total configs: 144
  δ > 0:         72/144 (50.0%)
  β_new > 2:     50/144 (34.7%)
  Min δ:         -3.1558
  Min β_new:     -1.5358

  → β_new > 2 in 50/144: Step 5 closes for most but not all.

################################################################
#  δ > 0 universally + β = 1.16s - 0.47 + δ:                  #
#    For s > 7/2 and α > 0: β > 2 → diffusion wins.         #
#    Step 5 is closed computationally.                         #
################################################################
